25 01 2021 1000
48
Cape-Reinga	186	38	20.1	18.6	991.7	1016.6
Kaitaia	203	59	20.9	18.6	1006.7	1015.7
Kerikeri	216	63	22.4	17	997.5	1015
Whangarei	239	89	22.3	16.3	1010	1014.7
Mokohinau-Islands	251	89	20.2	15.3	1006.1	1014.2
Auckland	249	133	21	15.1	1013.3	1014.2
Whitianga	275	128	21.2	13.2	1012.3	1012.8
Hamilton	261	163	18.9	13.8	1007.1	1013.3
Tauranga	288	161	20.4	12.3	1011.5	1011.9
Hicks-Bay	346	156	22	14.2	1003.9	1009.1
Port-Taharoa	246	174	18.8	13.7	1011.4	1014.3
Taupo	282	189	18.6	10.4	963.9	1010.9
Gisborne	339	198	23	12.4	1009	1009.5
New-Plymouth	228	208	18.9	14.8	1009.8	1013.3
Hawera	231	227	17.9	13.6	1001.4	1013.1
Whanganui	248	239	18.8	12.1	1011.5	1012.5
Waiouru	265	214	12.6	9	919.6	-999
Napier	307	226	23.7	8.7	1009.2	1009.5
Mahia	336	216	21.1	8.8	994	1009.7
Palmerston-North	270	256	17.7	12.8	1006.1	1011.6
Levin	261	264	18.8	14.1	1010.1	1011.7
Paraparaumu	254	279	18.7	13.6	1010	1010.7
Wellington	246	291	19.8	13.2	1007.6	1009.1
Ngawi	259	302	21.1	11	1006.7	1007.4
Castlepoint	285	276	18.6	11.8	994	1007.8
Westport	158	308	16.7	13.9	1012.7	1013.2
Farewell-Spit	191	262	18.5	12.7	1010.1	1010.5
Nelson	202	290	20.1	10.2	1009.5	1010.1
Stephens-Island	225	265	17.6	13	988	1009.8
Cape-Campbell	231	309	17.1	13.9	1006.5	1007.1
Hokitika	149	330	15.3	15.3	1007.1	1012.6
Kaikoura	213	330	20.5	10.4	993.6	1006
Haast	90	386	14.1	13.9	1011.6	1011.7
Milford-Sound	57	417	14.3	13.2	1009.3	1009.7
Mount-Cook	118	379	17.8	7.1	931.8	-999
Tara-Hills	124	455	21.4	7.3	949.1	1004
Timaru	150	399	19.4	12.2	1000.2	1003.4
Christchurch	186	374	18.7	12.7	1001.1	1005.5
Le-Bons-Bay	198	381	15.5	12.9	977.9	1005.6
Secretary-Island	36	443	14.5	13.7	1007.1	1009.2
Puysegur-Point	32	478	13.7	12.7	1001.4	1006.6
Queenstown	84	430	20.2	9.5	962.8	1003.7
Invercargill	76	483	15.3	12	1003.6	1003.7
Nugget-Point	113	484	15.5	12	987.7	1003.1
Dunedin	131	462	17.2	13.7	1002.6	1002.9
South-West-Cape	55	517	12.3	-999	990	1002.3
Enderby-Island	42	633	8.7	5.4	989.1	993.8
Campbell-Island	107	709	7.2	4.1	981.4	983.2
