25 01 2021 400
48
Cape-Reinga	186	38	18.3	18.2	990.1	1015.1
Kaitaia	203	59	19.5	19.2	1005.4	1014.4
Kerikeri	216	63	18.6	17.3	996.5	1014.1
Whangarei	239	89	19.7	17	1008.5	1013.3
Mokohinau-Islands	251	89	19	15.9	1004.9	1013.1
Auckland	249	133	17.6	15	1011.4	1012.3
Whitianga	275	128	17.4	13.5	1011	1011.5
Hamilton	261	163	12.2	10.8	1005.6	1011.9
Tauranga	288	161	16.8	12.5	1009.7	1010.1
Hicks-Bay	346	156	18.1	13.1	1001.5	1006.8
Port-Taharoa	246	174	17.6	13.5	1009.8	1012.7
Taupo	282	189	13.8	10.9	962.4	1010.2
Gisborne	339	198	15.1	12.5	1006.2	1006.7
New-Plymouth	228	208	15.1	12.6	1008.1	1011.6
Hawera	231	227	14.1	12.5	1000.3	1012.1
Whanganui	248	239	15.3	11.4	1010	1011
Waiouru	265	214	8.3	8.2	918.1	-999
Napier	307	226	17.8	5.8	1007.1	1007.4
Mahia	336	216	17.8	11	990.8	1006.6
Palmerston-North	270	256	14.1	11.8	1004.7	1010.2
Levin	261	264	15.3	12.8	1008.1	1009.7
Paraparaumu	254	279	15	13	1008.1	1008.7
Wellington	246	291	15.8	12.3	1005.7	1007.2
Ngawi	259	302	19.5	8.1	1005	1005.7
Castlepoint	285	276	15.5	11.2	991.8	1005.8
Westport	158	308	13.6	12.4	1012.6	1013.1
Farewell-Spit	191	262	14.3	10.1	1009.2	1009.6
Nelson	202	290	16.6	8.6	1008.2	1008.8
Stephens-Island	225	265	15.2	12.1	985.7	1007.7
Cape-Campbell	231	309	16.1	13.5	1005.5	1006.1
Hokitika	149	330	12.1	12.1	1006.7	1012.3
Kaikoura	213	330	15.3	11.3	993.3	1006
Haast	90	386	13.3	13	1010.9	1011
Milford-Sound	57	417	14.1	12.7	1009.3	1009.7
Mount-Cook	118	379	16.7	3.7	931	-999
Tara-Hills	124	455	15.9	5.1	948.6	1004.5
Timaru	150	399	9.5	8.7	1001.4	1004.7
Christchurch	186	374	10.5	10.2	1001	1005.5
Le-Bons-Bay	198	381	11.4	10.2	977.9	1006
Secretary-Island	36	443	13.9	12.9	1007	1009.1
Puysegur-Point	32	478	14	12.1	1000	1005.2
Queenstown	84	430	18.7	4.7	963.3	1004.4
Invercargill	76	483	14.5	11.2	1002.9	1003
Nugget-Point	113	484	12.6	10.7	987	1002.6
Dunedin	131	462	10.7	10.5	1002.7	1003
South-West-Cape	55	517	9.7	-999	988.6	1000.9
Enderby-Island	42	633	8.5	4.3	985.9	990.6
Campbell-Island	107	709	7.3	4.9	979.2	981
