26 01 2021 1300
48
Cape-Reinga	186	38	23.2	16.2	991.3	1015.9
Kaitaia	203	59	26.3	15.9	1006.2	1015
Kerikeri	216	63	26.3	14.3	997.6	1014.9
Whangarei	239	89	24.7	16.4	1010.4	1015.1
Mokohinau-Islands	251	89	21.5	16.5	1007	1015.1
Auckland	249	133	21.3	17.6	1014.4	1015.3
Whitianga	275	128	26.8	16	1012.6	1013.1
Hamilton	261	163	25.5	16.6	1007.4	1013.5
Tauranga	288	161	29.6	13.5	1011.6	1012
Hicks-Bay	346	156	24.3	17.3	1007.5	1012.7
Port-Taharoa	246	174	21.5	17.3	1011.9	1014.7
Taupo	282	189	22.2	12	966.1	1012.7
Gisborne	339	198	24.3	15.5	1012.9	1013.4
New-Plymouth	228	208	21.3	17.8	1010.7	1014.2
Hawera	231	227	20.7	16.9	1002.6	1014.2
Whanganui	248	239	22	15.5	1012.5	1013.5
Waiouru	265	214	22.8	12.8	921.2	-999
Napier	307	226	24.5	15.2	1012.5	1012.8
Mahia	336	216	22.7	14.3	997.8	1013.4
Palmerston-North	270	256	24.3	16.7	1007.7	1013.1
Levin	261	264	22.6	16	1012.4	1014
Paraparaumu	254	279	21.3	15.9	1013	1013.7
Wellington	246	291	23	15.8	1010.5	1012
Ngawi	259	302	25.3	15.3	1009.5	1010.2
Castlepoint	285	276	21.5	15.1	997.8	1011.6
Westport	158	308	20.6	15.6	1013.7	1014.1
Farewell-Spit	191	262	23.9	14.2	1012	1012.3
Nelson	202	290	22.1	17.6	1011.7	1012.3
Stephens-Island	225	265	20.9	13.4	991	1012.6
Cape-Campbell	231	309	18.2	14.8	1009.3	1009.9
Hokitika	149	330	18.5	13.5	1009.7	1015.2
Kaikoura	213	330	26.4	13.6	994.5	1006.7
Haast	90	386	16.7	14.6	1015	1015.1
Milford-Sound	57	417	14.5	14	1012.2	1012.6
Mount-Cook	118	379	28.4	-1.9	933.3	-999
Tara-Hills	124	455	28.4	5.6	951.3	1005
Timaru	150	399	36.8	7.1	998.6	1001.6
Christchurch	186	374	26.2	15.1	1000.5	1004.8
Le-Bons-Bay	198	381	20.4	13.1	978.3	1005.5
Secretary-Island	36	443	16.5	13.5	1007.6	1009.6
Puysegur-Point	32	478	21	14.6	995.9	1001
Queenstown	84	430	25.3	11.9	965.8	1006.1
Invercargill	76	483	26.1	14.1	1000.8	1000.9
Nugget-Point	113	484	27	13.2	985.4	1000.2
Dunedin	131	462	25.2	14.8	1002	1002.3
South-West-Cape	55	517	20.2	-999	986.4	998.4
Enderby-Island	42	633	12	12	987.6	992.2
Campbell-Island	107	709	9.1	8.9	989.9	991.7
