25 01 2021 1300
47
Cape-Reinga	186	38	21.8	18.5	991.5	1016.2
Kaitaia	203	59	24.2	18.5	1006.5	1015.4
Kerikeri	216	63	26.7	15.3	996.9	1014.1
Whangarei	239	89	25.6	15	1009.2	1013.9
Mokohinau-Islands	251	89	22.6	13.7	1005.4	1013.5
Auckland	249	133	22.5	14.4	1012.5	1013.3
Whitianga	275	128	25.9	11.5	1011.1	1011.6
Hamilton	261	163	23.6	14.1	1005.5	1011.6
Tauranga	288	161	25.4	13.4	1009.9	1010.3
Hicks-Bay	346	156	23.9	15.8	1004.4	1009.6
Port-Taharoa	246	174	20.4	14.2	1010.6	1013.4
Taupo	282	189	21.6	9.6	963.3	1009.8
Gisborne	339	198	23.4	11.9	1008.1	1008.6
New-Plymouth	228	208	20.3	15.9	1009.6	1013.1
Hawera	231	227	20.2	14.5	1001.3	1012.9
Whanganui	248	239	21.2	11.2	1011.3	1012.3
Waiouru	265	214	18.9	11.6	919	-999
Napier	307	226	23.7	12	1008.3	1008.6
Mahia	336	216	21.5	11.8	993.2	1008.8
Palmerston-North	270	256	20.9	15.4	1005.4	1010.8
Levin	261	264	19.5	14.1	1009.9	1011.5
Paraparaumu	254	279	19.2	14.6	1009.7	1010.4
Wellington	246	291	22	13.2	1006.8	1008.3
Ngawi	259	302	22.9	13.1	1006.4	1007.1
Castlepoint	285	276	22.5	12.3	993.7	1007.4
Westport	158	308	18.5	14.7	1012.6	1013.1
Farewell-Spit	191	262	21.4	11.7	1009.4	1009.8
Nelson	202	290	23.8	12.1	1008.4	1009
Stephens-Island	225	265	18.7	15.2	988	1009.7
Cape-Campbell	231	309	18.5	14.3	1005.6	1006.2
Hokitika	149	330	18.2	16.3	1007.4	1012.9
Kaikoura	213	330	21.7	13.3	992.9	1005.3
Haast	90	386	15.4	14.8	1011.4	1011.5
Milford-Sound	57	417	15	13.2	1009.4	1009.8
Mount-Cook	118	379	19.5	5.4	931.5	-999
Tara-Hills	124	455	22.4	6.5	948.5	1003.1
Timaru	150	399	28.6	9.4	997.9	1001
Christchurch	186	374	24.8	11.3	999.4	1003.7
Le-Bons-Bay	198	381	21.1	9.2	976.9	1004
Secretary-Island	36	443	14.6	13.6	1006.2	1008.3
Puysegur-Point	32	478	14.8	13.6	1000.6	1005.8
Queenstown	84	430	22.8	10	962.8	1003.3
Invercargill	76	483	15.7	12.4	1003.6	1003.7
Nugget-Point	113	484	15.8	12.4	987.8	1003.2
Dunedin	131	462	21.2	15.7	1002.2	1002.5
Enderby-Island	42	633	10.4	4.8	992.5	997.2
Campbell-Island	107	709	9.6	5.1	986.4	988.2
